序号,粤语,普通话,新拟粤语（广州音）拼音,场景,来源
61,博览群书,习语。广泛阅读大量书籍：唔～点可以增长见识［不多读点书怎么增长见识］？,bog8laam4 kwan2syu1,四字组习语,现代粤语词典-1265
62,跛脚鹩哥,习语。瘸腿的八哥鸟。比喻无能的人：呢个人直情系一只～［他这人简直就是一个低能儿］。,bai1goeg8 liu1go1,四字组习语,现代粤语词典-1266
63,不成器皿,习语。不成气候：得几条友，～［就那几个人，不成气候］。,bad7sing2hei5ming4,四字组习语,现代粤语词典-1267
64,不打自招,习语。还没拷问就招供，多指无意泄露真实情况：今次你真系～喇［这次你真是不打自招了］。,bad7daa3zi6ziu1,四字组习语,现代粤语词典-1268
65,不甘示弱,习语。不甘心表示自己比别人差：双方都～。,bad7gam1si6yoeg9,四字组习语,现代粤语词典-1269
66,不可理喻,习语。不能用道理使明白，形容固执蛮横、不通情理：真系～［真是不讲道理］！,bad7ho3lei4yu6,四字组习语,现代粤语词典-1270
67,不可名状,习语。无法用语言形容：呢种感觉～，好奇怪［这种感觉无法说，很奇怪］。,bad7ho3ming2zong6,四字组习语,现代粤语词典-1271
68,不了了之,习语。该办的事没有办完，放在一边当作完成：呢件事绝对唔可以～［这件事绝对不可以不了了之］。,bad7liu4liu4zi1,四字组习语,现代粤语词典-1272
69,不情之请,习语。客套话，不合理的请求：我有个～。,bad7cing2zi1cing3,四字组习语,现代粤语词典-1273
70,不识时务,习语。不认识当前重要的事态和潮流：都到依家呢个地步，仲系～［都到了现在这个地步还是不识时务］。,bad7sig7si2mou6,四字组习语,现代粤语词典-1274
71,不务正业,习语。丢下本职工作去做其他事情；游手好闲：你日日都度打机唔去揾嘢做，真系～［你每天都在打游戏，不找工作，真是不务正业］。,bad7mou6zing5yib9,四字组习语,现代粤语词典-1275
72,不学无术,习语。没有学问、能力：日日挂住玩，～［天天想着玩，什么都不会］。,bad7hog9mou2soed9,四字组习语,现代粤语词典-1276
73,不遗余力,习语。用出全部力量，一点儿也不保留：我帮你一定系～嘅［我一定毫无保留地帮助你］！,bad7wai2yu2lig9,四字组习语,现代粤语词典-1277
74,不翼而飞,习语。比喻东西突然不见了：我支笔点解～［我的笔怎么突然不见了］？,bad7yig9yi2fei1,四字组习语,现代粤语词典-1278
75,不约而同,习语。没有事先商量而彼此见解或行动一致：我哋～都着咗同一件衫［我们不约而同地穿了一样的衣服］。,bad7yoeg8yi2tung2,四字组习语,现代粤语词典-1279
76,不正之风,习语。不正派的作风：纠正～。,bad7zing5zi1fung1,四字组习语,现代粤语词典-1280
77,不值一提,习语。不值得提起；很轻微或不重要：呢啲小事都～啦［这些小事都不值得提起啦］。,bad7zig9 yad7tai2,四字组习语,现代粤语词典-1281
78,不治之症,习语。治不好的病；除不掉的祸患或弊端：佢得咗～［他得了治不好的病］。,bad7zi6zi1zing5,四字组习语,现代粤语词典-1282
79,不足为奇,习语。很平常，不值得奇怪：佢不溜都咁努力，达到呢个水平～［他一向都非常努力，达到这种水平不奇怪］。,bad7zug7wai2kei2,四字组习语,现代粤语词典-1283
80,布拉肠粉,习语。用小笼屉垫上布蒸制的肠粉。又说“拉肠”（409页）、“布拉肠”。,bou5laai1coeng3fan3,四字组习语,现代粤语词典-1284
81,才疏学浅,习语。才能低，学识浅（多用于自谦）：在下～，请多指教［在下才能低，学识浅，请多指教］。,coi2so1 hog9cin3,四字组习语,现代粤语词典-1285
82,财不露眼,习语。个人钱财不要让别人看见，尤指公共场所不要暴露所带钱财：出门要注意银包，～吖［出门要注意钱包，财不露眼嘛］。,coi2bad7lou6ngaan4,四字组习语,现代粤语词典-1286
83,财大气粗,习语。形容人仗着钱财多而气势凌人：佢～，都唔当其他人系人［他仗着钱多而盛气凌人，不当其他人是人］。,coi2daai6 hei5cou1,四字组习语,现代粤语词典-1287
84,睬佢都戆,习语。表示对某人某事不屑一顾的态度：呢啲噉嘅人，～［这种人，傻瓜才理他］。又说“睬佢都傻”。,coi3koey4 dou1 ngong6,四字组习语,现代粤语词典-1288
85,睬佢都傻,习语。同“睬佢都戆”。,coi3koey4 dou1 so2,四字组习语,现代粤语词典-1289
