序号,粤语,普通话,新拟粤语（广州音）拼音,场景,来源
3931,偷渡客,习语。非法出国境的人。,tau1dou5haag8,三字组习语,现代粤语词典-5135
3932,头班车,习语。首班车：～几点开吖［首班车什么时候开呀］？又说“头车”。,tau2baan1ce1,三字组习语,现代粤语词典-5136
3933,头耷耷,习语。❶低着脑袋：～噉，着咗啊［低着脑袋，睡着了吗］？➋垂头丧气的样子：衰咗都唔使～嘅［失败了也不用垂头丧气的］。,tau2dab7dab7,三字组习语,现代粤语词典-5137
3934,头啖汤,习语。第一口汤；原汤；最佳物品。,tau2daam6tong1,三字组习语,现代粤语词典-5138
3935,头等舱,习语。飞机上靠近驾驶舱的座位。,tau2dang3cong1,三字组习语,现代粤语词典-5139
3936,头壳顶,习语。❶头顶：你～黐咗嘢［你头顶粘了东西］。➋头顶上：～盏灯几靓［头顶上的灯特别漂亮］。,tau2hog8deng3,三字组习语,现代粤语词典-5140
3937,头拧拧,习语。摇头失望的样子。,tau2ning6ning6,三字组习语,现代粤语词典-5141
3938,头手货,习语。上等货；好货。又说“头水货”。,tau2sau3fo5,三字组习语,现代粤语词典-5142
3939,头水货,习语。同“头手货”。,tau2soey3fo5,三字组习语,现代粤语词典-5143
3941,透心凉,习语。心底都凉了，很失望。,tau5sam1loeng2,三字组习语,现代粤语词典-5145
3942,图书馆,习语。收藏图书资料供人阅览参考的场馆：广州～｜广东省立中山～。,tou2syu1gwun3,三字组习语,现代粤语词典-5146
3943,屠宰场,习语。专门宰杀牲畜的处所：去～。,tou2zoi3coeng2,三字组习语,现代粤语词典-5147
3944,屠宰佬,习语。屠户。又说“ 猪佬”（758页）。,tou2zoi3lou3,三字组习语,现代粤语词典-5148
3945,土茯苓,习语。同“茯苓”（210页）。,tou3fug9ling2,三字组习语,现代粤语词典-5149
3946,土黄鸡,习语。广东本地的一种优良土种鸡。,tou3wong2gai1,三字组习语,现代粤语词典-5150
3947,土鲮鱼,习语。同“鲮鱼”（456页）。,tou3leng2yu3,三字组习语,现代粤语词典-5151
3948,吞口水,习语。咽口水。,tan1hau3soey3,三字组习语,现代粤语词典-5152
3949,褪肠头,习语。脱肛。,tan5coeng2tau2,三字组习语,现代粤语词典-5153
3950,托大脚,习语。拍马屁；吹捧：我最憎人～［我最讨厌别人拍马屁］。,tog8daai6goeg8,三字组习语,现代粤语词典-5154
3951,托手踭,习语。❶阻挠别人做事：你想点就点，我断唔会～嘅［你想怎么就怎么着，我绝不会妨碍你］。➋拒绝别人借钱物或其他求助：我开到声佢实唔会～嘅［我说句话他一定不会拒绝的］！ ,tog8sau3zaang1,三字组习语,现代粤语词典-5155
3952,托水龙,习语。代人付款或收款都不交给原主，自己吞没：你成日做埋啲～嘅嘢，边个敢同你做生意啊［你整天做这种私吞钱财的事，谁敢跟你做生意呀］。,tog8soey3lung2,三字组习语,现代粤语词典-5156
3953,拖肥糖,习语。〈外〉一种奶糖，“拖肥”是英语toffee的音译词。又作“太妃糖”。,to1fei3tong3,三字组习语,现代粤语词典-5157
3954,拖落水,习语。拖下水，受牵连。,to1log9soey3,三字组习语,现代粤语词典-5158
3955,拖落氹,习语。带人沾上恶习。,to1log9tam4,三字组习语,现代粤语词典-5159
3956,拖手仔,习语。同“拉手仔”（410页）。,to1sau3zai3,三字组习语,现代粤语词典-5160
3957,佗归仔,习语。被母亲带着改嫁的小孩，含贬义。又说“油瓶仔”（887页）。,to2gwai1zai3,三字组习语,现代粤语词典-5161
3958,陀陀拧,习语。团团转，形容忙乱的样子：日日做到我～［天天忙得我团团转］。,to2to3ning6,三字组习语,现代粤语词典-5162
3959,驼背佬,习语。驼背的男子。,to2bui5 lou3,三字组习语,现代粤语词典-5163
3960,挖荷包,习语。掏腰包；付钱。,waad8ho2bau1,三字组习语,现代粤语词典-5164
3961,挖裤袋,习语。掏口袋。,waad8fu5doi3,三字组习语,现代粤语词典-5165
3962,娃娃菜,习语。微型大白菜：上汤～。,waa1waa1coi5,三字组习语,现代粤语词典-5166
3963,娃娃鱼,习语。大鲵的俗称。,waa1waa1yu3,三字组习语,现代粤语词典-5167
3964,瓦背顶,习语。同“瓦背”。,ngaa4bui3deng3,三字组习语,现代粤语词典-5168
3965,瓦公仔,习语。老式房屋的屋脊上安放的陶制小人、小兽。,ngaa4gung1zai3,三字组习语,现代粤语词典-5169
3966,瓦檐口,习语。屋檐下。,ngaa4yim2hau3,三字组习语,现代粤语词典-5170
3967,瓦渣岗,习语。瓦砾堆。,ngaa4zaa1gong1,三字组习语,现代粤语词典-5171
3968,搲口袋,习语。❶开口很大的袋子。➋比喻爱哭的小孩。,we3hau3doi3,三字组习语,现代粤语词典-5172
3969,外江佬,习语。外省人。,ngoi6gong1lou3,三字组习语,现代粤语词典-5173
3970,外卖员,习语。送外卖的人员：佢细佬系～［他弟弟是外卖员］。,ngoi6maai6yun2,三字组习语,现代粤语词典-5174
3971,外孙女,习语。女儿的女儿。,ngoi6syun1noey3,三字组习语,现代粤语词典-5175
3972,外太公,习语。母亲的祖父、外祖父。,ngoi6taai5gung1,三字组习语,现代粤语词典-5176
3973,外太婆,习语。母亲的祖母、外祖母。,ngoi6taai5po2,三字组习语,现代粤语词典-5177
3974,玩手绳,习语。同“挑绳”（741页）。,waan3sau3sing2,三字组习语,现代粤语词典-5178
3975,挽油瓶,习语。妇女带着孩子改嫁。,waan4yau2peng3,三字组习语,现代粤语词典-5179
3976,晚头黑,习语。同“晚黑”。,maan4tau2hag7,三字组习语,现代粤语词典-5180
3977,晚头夜,习语。同“晚黑”。,maan4tau2ye3,三字组习语,现代粤语词典-5181
3978,揾饭食,习语。讨生活；谋生：都系～啫［都是为了谋生啊］。又说“揾食”。,wan3faan6sig9,三字组习语,现代粤语词典-5182
3979,揾老衬,习语。想占人便宜；把人当傻瓜。,wan3lou4can5,三字组习语,现代粤语词典-5183
3980,揾路数,习语。找门路。,wan3lou6sou5,三字组习语,现代粤语词典-5184
3981,揾米路,习语。谋生；找活路。,wan3mai4lou6,三字组习语,现代粤语词典-5185
3982,揾世界,习语。找生活，外出谋生。,wan3sai5gaai5,三字组习语,现代粤语词典-5186
3983,揾外快,习语。找兼职，挣外快。,wan3ngoi6faai5,三字组习语,现代粤语词典-5187
3984,揾着数,习语。找便宜。,wan3zoeg9sou5,三字组习语,现代粤语词典-5188
3985,万寿果,习语。金钩梨：今日嘅～好平啊［今天的金钩梨好便宜］。,maan6sau6gwo3,三字组习语,现代粤语词典-5189
3986,万字夹,习语。曲别针；回形针：同我买盒～返嚟啦［帮我买一盒回形针来吧］。,maan6zi6gaab3,三字组习语,现代粤语词典-5190
3987,王老五,习语。单身汉。,wong2lou4m4,三字组习语,现代粤语词典-5191
3988,往阵时,习语。同“往时”。,wong4zan6si3,三字组习语,现代粤语词典-5192
3989,望微眼,习语。❶极目眺望，用尽眼力：我住度～咁远吖［我住在从这里几乎看不到的地方］。➋盼望；望穿眼：～都唔见［忘穿眼都不见］｜啊妈～噉盼你翻嚟吖［母亲望穿眼盼你回来呢］。,mong6mei2ngaan4,三字组习语,现代粤语词典-5193
3990,危危乎,习语。很危险的样子：呢间旧屋～，随时会冧［这间旧房子很危险，随时会塌］。,ngai2ngai2fu2,三字组习语,现代粤语词典-5194
3991,为得过,习语。划得来，合算：做呢单生意～［做这笔生意划得来］。又说“有数为”（891页）、“得过”（992页）。,wai2dag7gwo5,三字组习语,现代粤语词典-5195
3992,为唔过,习语。同“冇数为”（531页）。,wai2m2gwo5,三字组习语,现代粤语词典-5196
3993,…为真,习语。…才是；…才是对的：佢冇钱～［他没钱才是］｜脚踏实地～［脚踏实地才是对的］。,wai2zan1,三字组习语,现代粤语词典-5197
3994,唯独是,习语。只是。又说“唯是”。,wai2dug9si6,三字组习语,现代粤语词典-5198
3995,维他命,习语。〈外〉维生素。英文vitamin的音译词：开支～［开一瓶维生素］。,wai2taa1ming6,三字组习语,现代粤语词典-5199
3996,伪君子,习语。外表正派，内里卑鄙无耻的人。,ngai6gwan1zi3,三字组习语,现代粤语词典-5200
3997,尾龙骨,习语。尾椎骨。,mei4lung2gwad7,三字组习语,现代粤语词典-5201
3998,尾尾屎,习语。最末的（儿童用语）。,mei1mei1si3,三字组习语,现代粤语词典-5202
3999,卫生间,习语。同“厕所”（63页）。,wai6sang1gaan1,三字组习语,现代粤语词典-5203
4000,为乜嘢,习语。同“为乜”。,wai6mad7ye4,三字组习语,现代粤语词典-5204
4001,为食猫,习语。馋猫，指馋嘴的小孩：听讲有得食，～就唔肯走咯［听说有吃的，馋猫就不肯走了］。,wai6sig9maau1,三字组习语,现代粤语词典-5205
4002,未得自,习语。还不行；还没：～，等阵先［还没呢，等一下］。,mei6dag7zi6,三字组习语,现代粤语词典-5206
4003,未够喉,习语。吃不饱、吃不够，形容满足不了欲望：食晒成盒曲奇仲话～［吃了一盒曲奇饼，还说吃不够］。又说“唔够喉”（781页）。,mei6gau5hau2,三字组习语,现代粤语词典-5207
4004,未够皮,习语。不够本儿：卖咗成日花，先得几十文，～吖［卖一天花才得了几十元，本都不够］。又说“唔够皮”（781页）。,mei6gau5pei3,三字组习语,现代粤语词典-5208
4005,未有耐,习语。❶差得远：先还咗三百文，仲～啦［才还三百块，差着呢］。➋早着呢：佢结婚仲～啦［他结婚还早着呢］。,mei6yau4noi1,三字组习语,现代粤语词典-5209
4006,未知死,习语。不知死活、不知利害：啲人真系～，冇驾照仲敢开车上路［这人真是不知死活，没驾照还敢开车上路］。,mei6zi1sei3,三字组习语,现代粤语词典-5210
4007,胃溃疡,习语。胃病的一种，胃粘膜发生溃烂：得咗～［得了胃溃疡］。,wai6kui3yoeng2,三字组习语,现代粤语词典-5211
4008,文化宫,习语。群众开展文化娱乐活动的场所。,man2faa5gung1,三字组习语,现代粤语词典-5212
4009,文化裇,习语。短袖圆领衫。又作“文化恤”。,man2faa5soed7,三字组习语,现代粤语词典-5213
4010,文零一,习语。一块多钱。,man1leng2yad7,三字组习语,现代粤语词典-5214
4011,文学院,习语。高等教育体制下的文科学院。,man2hog9yun3,三字组习语,现代粤语词典-5215
4012,蚊都,习语。蚊子都睡了，比喻时间很晚或动作太迟缓：指拟你，～咯［指望你，太迟了］｜噉塞车，翻到去～喇［这么塞车，到家都很晚了］。又说“蚊”。,man1dou1fan5,三字组习语,现代粤语词典-5216
4013,蚊烟香,习语。粗条状的熏蚊虫的香。,man1yin1hoeng1,三字组习语,现代粤语词典-5217
4014,问底细,习语。问内情；问情况。,man6 dai3sai5,三字组习语,现代粤语词典-5218
4015,问价钱,习语。询问价格。,man6 gaa5cin2,三字组习语,现代粤语词典-5219
4016,我哋嘅,习语。我们的：呢啲嘢系～［这些东西是我们的］。,ngo4dei6ge5,三字组习语,现代粤语词典-5220
4017,乌劣劣,习语。黑油油的；黑黑的：阿婆七十几岁头发仲～［老婆婆七十多岁头发还黑黑的］。,wu1lyud7lyud7,三字组习语,现代粤语词典-5221
4018,乌龙王,习语。糊涂虫：你正～，抄个电话都抄错［你真是糊涂虫，抄个电话也抄错］。,wu1lung3wong2,三字组习语,现代粤语词典-5222
4019,乌面猫,习语。比喻满脸肮脏的小孩儿：玩到成只～噉［玩得满脸肮脏］。,wu1min6maau1,三字组习语,现代粤语词典-5223
4020,乌,习语。糊里糊涂。,wu1soe2soe2,三字组习语,现代粤语词典-5224
4021,乌肉蛇,习语。见“饭铲头”（193页）。,wu1yug9se2,三字组习语,现代粤语词典-5225
4022,乌啄啄,习语。❶一点不懂；莫名其妙：咁大个人做嘢仲～［这么大人了，还不懂做事］。➋不了解；不知情：畀人揾咗着数仲～［被人占便宜了还不知情］。,wu1doeng1doeng1,三字组习语,现代粤语词典-5226
4023,乌卒卒,习语。❶乌黑发亮。➋一头雾水；不知情：呢单嘢我都～嘅［这事我都一头雾水］。,wu1zoed7zoed7,三字组习语,现代粤语词典-5227
4024,无端端,习语。无缘无故：做乜～闹人［干嘛无缘无故骂人］｜～坏咗［无缘无故的坏了］。又说“无拉拉”“无无端端”“无情情”。,mou2dyun1dyun1,三字组习语,现代粤语词典-5228
4025,无拉拉,习语。同“无端端”。,mou2laa1laa1,三字组习语,现代粤语词典-5229
4026,无聊赖,习语。无聊；无事可干：呢个长假真～［这个长假，真无聊］。,mou2liu2laai6,三字组习语,现代粤语词典-5230
4027,无情鸡,习语。过去店主年终请雇员吃年饭时，如果亲自给某一伙计夹块鸡肉，就表示明年不再雇用：惊死今年老细会畀佢食～［担心老板今年会解雇佢］。,mou2cing2gai1,三字组习语,现代粤语词典-5231
4028,无情情,习语。同“无端端”。,mou2cing2cing2,三字组习语,现代粤语词典-5232
4029,无人机,习语。机身自带程序、通过无线电遥控设备操纵的不载人飞机。,mou2yan2gei1,三字组习语,现代粤语词典-5233
4030,唔…得,习语。不能；不得：唔食得［吃不得］｜唔打得［打不得］｜唔识得［认不得］。,m2…dag7,三字组习语,现代粤语词典-5234
4031,唔畀面,习语。不给面子；不赏脸：咁～，请食饭都唔嚟［真是不给面子，请吃饭都不来］。,m2bei3min3,三字组习语,现代粤语词典-5235
4032,唔臭,习语。不懂事；乳臭未干：佢好～嘅［他很不懂事的］｜咁大个仔仲咁～嘅［那么大的人了还那么不懂事］。,m2cau5seng5,三字组习语,现代粤语词典-5236
4033,唔黐家,习语。不着家，整天在外很少回家：佢～嘅，一日到黑出便玩［他不在家的，一天到晚在外面玩］。,m2ci1gaa1,三字组习语,现代粤语词典-5237
4034,唔打紧,习语。❶不要紧；无关紧要：呢啲人～嘅，唔使理佢哋［这些人无关紧要，不用管他们］。➋不着急：我～嘅，你去使先啦［我不着急用，你先拿去用吧］。,m2daa3gan3,三字组习语,现代粤语词典-5238
4035,唔单只,习语。不仅；不只是：佢～靓仔，读书仲好叻［他不只长得帅，学习也很厉害］。又说“唔净只”、“唔只”。又作“唔单止”。,m2daan1zi3,三字组习语,现代粤语词典-5239
4036,唔到你,习语。不能由你；轮不到你：白纸黑字，～唔信［证据确凿，由不得你不相信］。,m2dou5nei4,三字组习语,现代粤语词典-5240
4037,唔得掂,习语。不得了；不好办；糟糕：卖咗你都～吖［把你卖了都搞不定啊］｜得罪咗佢，我哋都～［开罪了他，我们都不好办］。,m2dag7dim6,三字组习语,现代粤语词典-5241
4038,唔得切,习语。来不及：坐公交去肯定～［坐公交车去肯定来不及］。,m2dag7cid8,三字组习语,现代粤语词典-5242
4039,唔得闲,习语。没有空：佢日日都～［他每天都很忙］ ｜听日我～去饮［我明天没空去赴宴］。,m2dag7haan2,三字组习语,现代粤语词典-5243
4040,唔等使,习语。不顶用；无益：买咁多～嘅嘢，认真嘥钱［买那么多没用的东西，真是浪费钱］。,m2dang3sai3,三字组习语,现代粤语词典-5244
4041,唔抵得,习语。❶忍不住：～想食雪糕吖［忍不住想吃雪糕了］。➋受不了：真系～佢［真受不了他］。,m2dai3dag7,三字组习语,现代粤语词典-5245
4042,唔对路,习语。不对头：我觉得佢哋有啲～，好似呃人嘅［我觉得他们有点不对头，好像是骗人的］。又说“唔系路”。,m2doey5lou6,三字组习语,现代粤语词典-5246
4043,唔忿气,习语。不服气：～你自己嚟，睇你整得有几好［不服气就你自己来，看你干得有多好］。,m2fan6hei5,三字组习语,现代粤语词典-5247
4044,唔该晒,习语。多谢；感谢不尽：今次～你，我先至唔使蚀本［这回太感谢你了，我才不至于亏本］。,m2goi1saai5,三字组习语,现代粤语词典-5248
4045,唔该先,习语。客套话，用于回答别人的问候：食咗饭未吖？—～咯［谢谢，我吃过了］。,m2goi1sin1,三字组习语,现代粤语词典-5249
4046,唔够打,习语。打不过：～就揾帮手嚟［打不过就找人帮忙］｜～就诈死［打不过就装死］。,m2gau5daa3,三字组习语,现代粤语词典-5250
4047,唔够喉,习语。同“未够喉”（770页）。,m2gau5hau2,三字组习语,现代粤语词典-5251
4048,唔够皮,习语。同“未够皮”（770页）。,m2gau5pei3,三字组习语,现代粤语词典-5252
4049,唔够气,习语。走路、爬山时气短：我～跑三千米［我跑不了三千米］。,m2gau5hei5,三字组习语,现代粤语词典-5253
4050,唔够眼,习语。眼睛不好使：～就去配副老花镜。,m2gau5ngaan4,三字组习语,现代粤语词典-5254
4051,唔怪得,习语。同“怪得”（248页）。,m2gwaai5dag7,三字组习语,现代粤语词典-5255
4052,唔怪之,习语。同“怪得”（248页）。,m2gwaai5zi1,三字组习语,现代粤语词典-5256
4053,唔关事,习语。与某事无关：佢感冒唔关琴晚吹空调事嘅［他感冒与昨晚吹空调无关］。,m2gwaan1si6,三字组习语,现代粤语词典-5257
4054,唔好命,习语。同“命丑”（520页）。,m2hou3meng6,三字组习语,现代粤语词典-5258
4055,唔化算,习语。不合算；划不来：咁贵食餐饭，我觉得～［吃顿饭那么贵，我觉得不划算］。,m2faa5syun5,三字组习语,现代粤语词典-5259
4056,唔话得,习语。很满意，没什么意见：老细做到佢咁好，真系～［当老板像他那么好真是没什么可说的］。,m2waa6dag7,三字组习语,现代粤语词典-5260
4057,唔及得,习语。赶不上；比不上：你～佢咁靓［你没她漂亮］｜你手艺～佢［你的手艺不如他］。,m2kab9dag7,三字组习语,现代粤语词典-5261
4058,唔记得,习语。记不得；忘记：我～佢几时生日［我记不得他什么时候生日］。,m2gei5dag7,三字组习语,现代粤语词典-5262
4059,唔紧要,习语。不要紧：贵啲～，质量好就得啦［贵点不要紧，质量好就行］。,m2gan3yiu5,三字组习语,现代粤语词典-5263
4060,唔精神,习语。不舒服；生病：佢琴日～，冇去上课［他昨天不舒服，没去上课］。,m2zing1san2,三字组习语,现代粤语词典-5264
4061,唔净只,习语。同“唔单只”。又作“唔净止”。,m2zing6zi3,三字组习语,现代粤语词典-5265
4062,唔聚财,习语。不顺眼；不舒服：佢心情唔好，睇边个都～［他心情不好，看谁都不顺眼］｜旅游翻嚟，觉得～［旅游回来后就觉得整天都不得劲］。,m2zoey6coi2,三字组习语,现代粤语词典-5266
4063,唔觉眼,习语。没注意：～佢嚟过［没注意他来过］ ︱～你条颈链放边［没注意你的项链放哪里］。,m2gog8ngaan4,三字组习语,现代粤语词典-5267
4064,唔觉意,习语。不小心；没注意：～打烂咗只碗［不小心把碗打碎了］。,m2gog8yi5,三字组习语,现代粤语词典-5268
4065,唔开气,习语。不开朗；沉默寡言：佢～，周围啲人都唔系好中意佢［他性格阴郁，大家都不是很喜欢他］。,m2hoi1hei5,三字组习语,现代粤语词典-5269
4066,唔开胃,习语。❶胃口不好：睇见呢啲我就～［看到这些菜我就没胃口］。➋讨厌；嫌弃：睇见佢个死人样我就～［看到他那副死样子我就讨厌］。,m2hoi1wai6,三字组习语,现代粤语词典-5270
4067,唔耕,习语。毫不相干；不着边际：人讲东佢讲西，一啲都～［人家说这他却说那，真是牛头不对马嘴］。又说“唔 ”、“冇耕”（531页）、“冇 ”（531页）。又作“唔经”。,m2naa1gaang1,三字组习语,现代粤语词典-5271
4068,唔啱偈,习语。意见不合；谈不来：我同佢～，坐埋一齐都唔自在［我跟他合不来，坐在一起也不自在］。,m2ngaam1gai3,三字组习语,现代粤语词典-5272
4069,唔啱窍,习语。合不来；意见不合：佢哋不溜都～嘅，唔使理佢哋［他们一直以来都是意见不合的，不用管他们］。又读m<sup>2</sup>ngaam<sup>1</sup>ki<sup>1</sup>。又说“唔啱牙”。,m2ngaam1kiu3,三字组习语,现代粤语词典-5273
4070,唔啱牙,习语。同“唔啱窍”。,m2ngaam1ngaa3,三字组习语,现代粤语词典-5274
4071,…唔切,习语。来不及：赶～［来不及］｜抄～［来不及抄］｜整～［来不及做］。,m2cid8,三字组习语,现代粤语词典-5275
4072,唔少得,习语。少不了；不能少：有好嘢肯定～你嘅［有好处肯定少不了你的份］。,m2siu3dag7,三字组习语,现代粤语词典-5276
4073,唔生性,习语。❶不懂事：一个二个都～［一个两个都不懂事］。➋没出息：佢老公～［她丈夫没出息］。,m2saang1sing5,三字组习语,现代粤语词典-5277
4074,唔使恨,习语。❶别指望：咁迟先嚟，卖晒啦，～喇［来得那么晚，都卖完了，没指望了］。➋不堪回首；别提了：讲起旧阵时就～咯［说起从前呀，别提了］｜讲起佢呀，～咯［说起他呀，别提了］。〓又说“唔使计”。,m2sai3 han6,三字组习语,现代粤语词典-5278
4075,唔使慌,习语。❶不必害怕：～，呢个世界边度有鬼［不用害怕，世上哪有鬼］。➋别担心；不用愁：你～，今次肯定唔使补考［你别担心，这次肯定不用补考］。➌别指望：～佢会帮你喇［别指望他会帮助你了］。,m2sai3 fong1,三字组习语,现代粤语词典-5279
4076,唔使计,习语。同“唔使恨”。,m2sai3 gai5,三字组习语,现代粤语词典-5280
4078,唔使嚟,习语。别这样；别指望：冇人冇物仲想搞边科，你～喇［没有人脉没有资源还想搞什么，你别指望了］｜～，都唔知几时先有机会［别这样，也不知道什么时候才有机会］。,m2sai3 lai2,三字组习语,现代粤语词典-5282
4079,唔使审,习语。不用问；明摆着的：～喇，实系抄人哋嘅窍［不用问了，肯定是抄了别人的想法］。,m2 sai3 sam3,三字组习语,现代粤语词典-5283
4080,唔输蚀,习语。不会比别的差：佢做嘅点心，卖相一啲都～过茶楼［他做的点心，卖相一点也不差过酒家］。,m2 syu1sid9,三字组习语,现代粤语词典-5284
4081,唔熟性,习语。不懂世故、不会做人：又想人帮你办事，又唔舍得使钱，噉就有啲～咯［想别人办事却舍不得花钱，这就有点不会做人了］｜之前人哋咁照顾你，而家你都唔去探下佢，真系～［之前人家很照顾你，现在你都不去探望一下，真不懂事］！,m2 sug9sing5,三字组习语,现代粤语词典-5285
4082,唔似样,习语。不像话：你噉同你阿妈讲嘢，太～喇［你这样跟你妈妈说话，太不像话了］。,m2 ci4yoeng3,三字组习语,现代粤语词典-5286
4083,唔听笛,习语。不听从；不愿听：都唔谂下点解其他人都唔听你支笛［也不想想为什么别人都不听你的］。,m2 teng1deg3,三字组习语,现代粤语词典-5287
4084,唔通气,习语。不通情达理；妨碍别人。,m2 tung1hei5,三字组习语,现代粤语词典-5288
4085,唔系喇,习语。表示改变主意：～，都系噉好［不是啊，还是这样好］。,m2hai6 laa5,三字组习语,现代粤语词典-5289
4086,唔系路,习语。同“唔对路”。,m2hai6 lou6,三字组习语,现代粤语词典-5290
4088,唔在理,习语。没道理：你～仲要声大夹恶［你没道理还恶声恶气的］。,m2 zoi6lei4,三字组习语,现代粤语词典-5292
4089,唔在意,习语。没留意；没注意。,m2 zoi6yi5,三字组习语,现代粤语词典-5293
4090,唔争在,习语。不差；不在乎：佢大把身家，～呢啲钱嘅［他财产很多，不差这点钱］。,m2 zaang1zoi6,三字组习语,现代粤语词典-5294
4091,唔知丑,习语。不害臊；自己猛咁话自己靓，真系～［一直夸自己漂亮，真是不害臊］。,m2 zi1cau3,三字组习语,现代粤语词典-5295
4092,唔知死,习语。不知死活，不知事情的利害：你都～嘅，明知犯法嘅都去做［你真是不知死活，犯法的事也敢去做］。,m2 zi1sei3,三字组习语,现代粤语词典-5296
4093,唔知衰,习语。不识趣；不知耻：成日口花花又懒蛇，仲～［整天贫嘴又懒惰，还不知讨人嫌］！,m2 zi1soey1,三字组习语,现代粤语词典-5297
4094,唔知醒,习语。睡着后不容易醒：今朝～，又迟到喇［今天早上醒不过来，又迟到了］。,m2 zi1seng3,三字组习语,现代粤语词典-5298
4095,唔志在,习语。不在乎：佢点谂，我系～嘅［他怎么想，我不在乎］。,m2 zi5zoi6,三字组习语,现代粤语词典-5299
4096,唔中用,习语。不中用：佢咁～，咪使指拟佢［他这么无用，可别指望他］。,m2 zung1yung6,三字组习语,现代粤语词典-5300
4097,唔自然,习语。不舒服；不自在：周身～［全身不舒服］｜企佢隔离，我觉得好～［站在他旁边我觉得很不自在］。又说“唔自在”。,m2 zi6yin2,三字组习语,现代粤语词典-5301
4098,唔自在,习语。同“唔自然”。,m2 zi6zoi6,三字组习语,现代粤语词典-5302
4099,唔阻你,习语。不打搅了，不麻烦你了：噉我走先，～喇［那我先走，不打搅你了］。,m2 zo3nei4,三字组习语,现代粤语词典-5303
4100,唔黐家,习语。不着家，整天在外很少回家：佢～嘅，一日到黑出便玩［他不在家的，一天到晚在外面玩］。,m2ci1gaa1,三字组习语,现代粤语词典-5304
4101,五桂山,习语。广东省重点旅游开发区，位于中山市，拥有珠江口最高峰。,Ng4gwai4saan1,三字组习语,现代粤语词典-5305
4102,五花腩,习语。五花肉。,ng4faa1naam4,三字组习语,现代粤语词典-5306
4103,五柳鱼,习语。酸溜鱼。,ng4lau4yu3,三字组习语,现代粤语词典-5307
4104,五五波,习语。球赛比分打平，比喻势均力敌、输赢机会对半：我睇今场会～［我看这场比赛五五开］︱今次过唔过，～啦［这次能不能过，一半半吧］。,ng4ng4bo1,三字组习语,现代粤语词典-5308
4105,五月节,习语。端午节。,Ng4yud9zid8,三字组习语,现代粤语词典-5309
4106,仵作佬,习语。过去官署中负责验尸、验伤的人。,ng4zog8lou3,三字组习语,现代粤语词典-5310
4107,舞马骝,习语。耍猴子把戏。,mou4maa4lau1,三字组习语,现代粤语词典-5311
4108,西班牙,习语。西班牙王国的简称，位于欧洲西南部。,Sai1baan1ngaa2,三字组习语,现代粤语词典-5312
4109,西餐楼,习语。供应西式饮食的餐厅。,sai1caan1lau3,三字组习语,现代粤语词典-5313
4110,西兰花,习语。二年生草本植物，主茎顶端形成肥大的花球，绿色或紫绿色，表面的小花蕾不密集在一起，侧枝顶端各生小花球：～炒鱿鱼。,sai1laan2faa1,三字组习语,现代粤语词典-5314
4111,西樵山,习语。佛山著名景区，广东四大名山之一。位于南海区西樵镇。,Sai1ciu2saan1,三字组习语,现代粤语词典-5315
4112,西洋菜,习语。一种常见的蔬菜，蔓生，叶细，多种在水田里。,sai1yoeng2coi5,三字组习语,现代粤语词典-5316
4113,西洋参,习语。同“花旗参”（294页）。,sai1yoeng2sam1,三字组习语,现代粤语词典-5317
4114,西装裤,习语。西式裤子。,sai1zong1fu5,三字组习语,现代粤语词典-5318
4115,西装友,习语。穿西服的人。,sai1zong1yau3,三字组习语,现代粤语词典-5319
4116,吸尘器,习语。用电动抽气机吸收灰尘等细碎脏物的机器。,kab7can2hei5,三字组习语,现代粤语词典-5320
4117,吸火罐,习语。同“拔火罐”（12页）。,kab7fo3gun5,三字组习语,现代粤语词典-5321
4118,吸血鬼,习语。比喻剥削和榨取他人劳动，过着寄生生活的人。,kab7hyud8gwai3,三字组习语,现代粤语词典-5322
4119,惜荷包,习语。不舍得掏钱；吝啬。,sig7ho2baau1,三字组习语,现代粤语词典-5323
4120,稀寥寥,习语。稀稀的；淡淡的：啲奶整到～噉［牛奶弄得稀稀的］。又读hei<sup>1</sup>leu<sup>1</sup>leu<sup>1</sup>。又说 “稀冧冧”。,hei1liu1liu1,三字组习语,现代粤语词典-5324
4121,稀冧冧,习语。同“稀寥寥”。,hei1lam1lam1,三字组习语,现代粤语词典-5325
4122,膝头盖,习语。同“菠萝盖”（48页）。,sad7tau2goi5,三字组习语,现代粤语词典-5326
4123,膝头哥,习语。同“膝头”。,sad7tau2go1,三字组习语,现代粤语词典-5327
4124,席摄底,习语。席子底下：报纸放～度［报纸放在席子底下］。,zeg9sib8dai3,三字组习语,现代粤语词典-5328
4125,洗白白,习语。洗澡。,sai3baag9baag9,三字组习语,现代粤语词典-5329
4126,洗衫板,习语。洗衣服的搓衣板：而家都好少人用～［现在已经很少人用搓板了］。,sai3saam1baan3,三字组习语,现代粤语词典-5330
4127,洗衫枧,习语。洗衣皂。,sai3saam1gaan3,三字组习语,现代粤语词典-5331
4128,洗手间,习语。同“厕所”（63页）。,sai3sau3gaan1,三字组习语,现代粤语词典-5332
4129,洗手台,习语。安装有水龙头和洗手盆的供人们洗手的平台。,sai3sau3toi2,三字组习语,现代粤语词典-5333
4130,洗水衫,习语。经常换洗的衣服；经常穿的衣服。,sai3soey3saam1,三字组习语,现代粤语词典-5334
