object,url
粤语趣味知识1文件录入表单.xlsx,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E8%B6%A3%E5%91%B3%E7%9F%A5%E8%AF%861%E6%96%87%E4%BB%B6%E5%BD%95%E5%85%A5%E8%A1%A8%E5%8D%95.xlsx
词语小典故（丫呜、光棍佬教仔、一戙都冇、老衬）.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E4%B8%AB%E5%91%9C%E3%80%81%E5%85%89%E6%A3%8D%E4%BD%AC%E6%95%99%E4%BB%94%E3%80%81%E4%B8%80%E6%88%99%E9%83%BD%E5%86%87%E3%80%81%E8%80%81%E8%A1%AC%EF%BC%89.mp4
词语小典故（丫呜、光棍佬教仔、一戙都冇、老衬）.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E4%B8%AB%E5%91%9C%E3%80%81%E5%85%89%E6%A3%8D%E4%BD%AC%E6%95%99%E4%BB%94%E3%80%81%E4%B8%80%E6%88%99%E9%83%BD%E5%86%87%E3%80%81%E8%80%81%E8%A1%AC%EF%BC%89.txt
词语小典故（人心不足蛇吞象、大耳窿、担屎唔偷食）.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E4%BA%BA%E5%BF%83%E4%B8%8D%E8%B6%B3%E8%9B%87%E5%90%9E%E8%B1%A1%E3%80%81%E5%A4%A7%E8%80%B3%E7%AA%BF%E3%80%81%E6%8B%85%E5%B1%8E%E5%94%94%E5%81%B7%E9%A3%9F%EF%BC%89.mp4
词语小典故（人心不足蛇吞象、大耳窿、担屎唔偷食）.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E4%BA%BA%E5%BF%83%E4%B8%8D%E8%B6%B3%E8%9B%87%E5%90%9E%E8%B1%A1%E3%80%81%E5%A4%A7%E8%80%B3%E7%AA%BF%E3%80%81%E6%8B%85%E5%B1%8E%E5%94%94%E5%81%B7%E9%A3%9F%EF%BC%89.txt
词语小典故（卖大包、孤寒、苏州屎、杯葛）.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E5%8D%96%E5%A4%A7%E5%8C%85%E3%80%81%E5%AD%A4%E5%AF%92%E3%80%81%E8%8B%8F%E5%B7%9E%E5%B1%8E%E3%80%81%E6%9D%AF%E8%91%9B%EF%BC%89.mp4
词语小典故（卖大包、孤寒、苏州屎、杯葛）.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E5%8D%96%E5%A4%A7%E5%8C%85%E3%80%81%E5%AD%A4%E5%AF%92%E3%80%81%E8%8B%8F%E5%B7%9E%E5%B1%8E%E3%80%81%E6%9D%AF%E8%91%9B%EF%BC%89.txt
词语小典故（沙尘、巴闭、擒青）.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E6%B2%99%E5%B0%98%E3%80%81%E5%B7%B4%E9%97%AD%E3%80%81%E6%93%92%E9%9D%92%EF%BC%89.mp4
词语小典故（沙尘、巴闭、擒青）.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E6%B2%99%E5%B0%98%E3%80%81%E5%B7%B4%E9%97%AD%E3%80%81%E6%93%92%E9%9D%92%EF%BC%89.txt
词语小典故（混吉、唔理三七二十一、鬼马、菠萝鸡）.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E6%B7%B7%E5%90%89%E3%80%81%E5%94%94%E7%90%86%E4%B8%89%E4%B8%83%E4%BA%8C%E5%8D%81%E4%B8%80%E3%80%81%E9%AC%BC%E9%A9%AC%E3%80%81%E8%8F%A0%E8%90%9D%E9%B8%A1%EF%BC%89.mp4
词语小典故（混吉、唔理三七二十一、鬼马、菠萝鸡）.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E6%B7%B7%E5%90%89%E3%80%81%E5%94%94%E7%90%86%E4%B8%89%E4%B8%83%E4%BA%8C%E5%8D%81%E4%B8%80%E3%80%81%E9%AC%BC%E9%A9%AC%E3%80%81%E8%8F%A0%E8%90%9D%E9%B8%A1%EF%BC%89.txt
词语小典故（犀飞利、唔使问阿桂、陆荣永庭睇相、顶栊）.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E7%8A%80%E9%A3%9E%E5%88%A9%E3%80%81%E5%94%94%E4%BD%BF%E9%97%AE%E9%98%BF%E6%A1%82%E3%80%81%E9%99%86%E8%8D%A3%E6%B0%B8%E5%BA%AD%E7%9D%87%E7%9B%B8%E3%80%81%E9%A1%B6%E6%A0%8A%EF%BC%89.mp4
词语小典故（犀飞利、唔使问阿桂、陆荣永庭睇相、顶栊）.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E7%8A%80%E9%A3%9E%E5%88%A9%E3%80%81%E5%94%94%E4%BD%BF%E9%97%AE%E9%98%BF%E6%A1%82%E3%80%81%E9%99%86%E8%8D%A3%E6%B0%B8%E5%BA%AD%E7%9D%87%E7%9B%B8%E3%80%81%E9%A1%B6%E6%A0%8A%EF%BC%89.txt
词语小典故（老窦、食软饭、二五仔、拍拖）.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E8%80%81%E7%AA%A6%E3%80%81%E9%A3%9F%E8%BD%AF%E9%A5%AD%E3%80%81%E4%BA%8C%E4%BA%94%E4%BB%94%E3%80%81%E6%8B%8D%E6%8B%96%EF%BC%89.mp4
词语小典故（老窦、食软饭、二五仔、拍拖）.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E8%80%81%E7%AA%A6%E3%80%81%E9%A3%9F%E8%BD%AF%E9%A5%AD%E3%80%81%E4%BA%8C%E4%BA%94%E4%BB%94%E3%80%81%E6%8B%8D%E6%8B%96%EF%BC%89.txt
词语小典故（老细、年三十晚谢灶、呃鬼食豆腐）.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E8%80%81%E7%BB%86%E3%80%81%E5%B9%B4%E4%B8%89%E5%8D%81%E6%99%9A%E8%B0%A2%E7%81%B6%E3%80%81%E5%91%83%E9%AC%BC%E9%A3%9F%E8%B1%86%E8%85%90%EF%BC%89.mp4
词语小典故（老细、年三十晚谢灶、呃鬼食豆腐）.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%AF%8D%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E8%80%81%E7%BB%86%E3%80%81%E5%B9%B4%E4%B8%89%E5%8D%81%E6%99%9A%E8%B0%A2%E7%81%B6%E3%80%81%E5%91%83%E9%AC%BC%E9%A3%9F%E8%B1%86%E8%85%90%EF%BC%89.txt
趣味粤语知识2录入表单.xlsx,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%B6%A3%E5%91%B3%E7%B2%A4%E8%AF%AD%E7%9F%A5%E8%AF%862%E5%BD%95%E5%85%A5%E8%A1%A8%E5%8D%95.xlsx
跟感官有关的ABB叠词.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%B7%9F%E6%84%9F%E5%AE%98%E6%9C%89%E5%85%B3%E7%9A%84ABB%E5%8F%A0%E8%AF%8D.mp4
跟感官有关的ABB叠词.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%B7%9F%E6%84%9F%E5%AE%98%E6%9C%89%E5%85%B3%E7%9A%84ABB%E5%8F%A0%E8%AF%8D.txt
跟身体有关的ABB叠词.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%B7%9F%E8%BA%AB%E4%BD%93%E6%9C%89%E5%85%B3%E7%9A%84ABB%E5%8F%A0%E8%AF%8D.mp4
跟身体有关的ABB叠词.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E8%B7%9F%E8%BA%AB%E4%BD%93%E6%9C%89%E5%85%B3%E7%9A%84ABB%E5%8F%A0%E8%AF%8D.txt
